county,tract,state,placefp14,stab,cntyname,placefp,placenm,placenm14,pop10,afact
17031,511.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",1556,1
17031,512.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",1516,1
17031,513.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",2683,1
17031,514.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",2077,1
17031,601.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",2569,1
17031,602.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",2111,1
17031,603.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",2839,1
17031,604.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",3370,1
17031,605.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",1309,1
17031,608.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",4837,1
17031,609.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",6867,1
17031,610.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",1647,1
17031,611.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",1379,1
17031,612.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",1889,1
17031,615.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",1707,1
17031,618.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",1112,1
17031,619.01,17,14000,IL,Cook IL, , ,"Chicago city, IL",3433,1
17031,619.02,17,14000,IL,Cook IL, , ,"Chicago city, IL",4240,1
17031,620.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",2569,1
17031,621.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",3436,1
17031,622.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",2870,1
17031,623.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",1513,1
17031,624.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",1421,1
17031,625.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",1497,1
17031,626.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",2226,1
17031,627.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",2724,1
17031,628.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",3506,1
17031,629.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",3976,1
17031,630.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",2973,1
17031,631.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",2173,1
17031,632.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",6345,1
17031,633.01,17,14000,IL,Cook IL, , ,"Chicago city, IL",2641,1
17031,633.02,17,14000,IL,Cook IL, , ,"Chicago city, IL",3996,1
17031,633.03,17,14000,IL,Cook IL, , ,"Chicago city, IL",1201,1
17031,634.00,17,14000,IL,Cook IL, , ,"Chicago city, IL",2180,1
17031,701.01,17,14000,IL,Cook IL, , ,"Chicago city, IL",3796,1
